City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
hualmay,61,PE,1573441618,82,-11.1,-77.61,62.6,3.0
doha,40,QA,1573441516,61,25.29,51.53,74.89,6.93
ranaghat,40,IN,1573441618,88,23.17,88.56,71.6,5.82
bloemfontein,0,ZA,1573441618,71,-29.12,26.22,53.6,3.36
fuling,98,CN,1573441618,78,29.71,107.39,60.15,3.8
zakamensk,100,RU,1573441619,75,50.38,103.29,13.48,3.27
okakarara,84,NA,1573441619,69,-20.59,17.46,68.5,1.74
fairbanks,75,US,1573441520,72,64.84,-147.72,16.5,1.45
altus,1,US,1573441619,77,34.64,-99.33,63.36,10.29
pangai,75,TO,1573441619,74,-19.8,-174.35,82.4,9.17
gardenstown,100,GB,1573441619,93,57.67,-2.34,38.53,11.41
flin flon,93,CA,1573441620,74,54.77,-101.88,5.94,10.63
bontang,8,ID,1573441620,77,0.12,117.47,82.94,5.68
machilipatnam,0,IN,1573441620,83,16.18,81.14,77.0,4.7
novovarshavka,52,RU,1573441620,64,54.17,74.7,16.11,4.25
coahuayana,11,MX,1573441620,74,18.62,-100.35,74.25,3.04
mount pleasant,1,US,1573441613,67,33.16,-94.97,59.34,4.7
antalaha,100,MG,1573441621,74,-14.9,50.28,76.44,9.95
gat,100,SN,1573441621,83,14.69,-16.54,73.4,13.87
vao,99,EE,1573441621,97,59.1,26.19,38.86,4.72
birao,0,CF,1573441621,24,10.3,22.78,70.59,8.37
bonavista,0,CA,1573441621,81,48.65,-53.11,33.01,7.0
palu,0,ID,1573441622,48,-0.9,119.87,86.58,3.36
chara,0,GR,1573441622,93,39.42,22.43,47.34,3.27
gorontalo,33,ID,1573441622,55,0.54,123.06,88.63,4.92
ntcheu,95,MW,1573441622,76,-14.82,34.64,65.61,12.88
klaksvik,100,FO,1573441622,69,62.23,-6.59,39.2,25.28
venustiano carranza,90,MX,1573441622,59,19.42,-99.11,61.81,10.29
paso de carrasco,0,UY,1573441623,82,-34.86,-56.05,60.44,6.93
garissa,89,KE,1573441623,76,-0.46,39.64,77.76,12.28
ruston,1,US,1573441493,71,32.52,-92.64,55.22,5.82
saint anthony,90,US,1573441621,69,43.97,-111.68,40.08,4.7
laguna,40,BZ,1573441623,83,16.17,-88.94,78.8,4.7
dunda,100,IN,1573441623,33,30.62,78.32,57.76,1.95
severodvinsk,90,RU,1573441624,100,64.56,39.82,26.6,8.95
tommot,100,RU,1573441624,93,58.97,126.27,2.89,8.86
kalianget,20,ID,1573441624,58,-7.35,109.91,89.24,4.7
buchanan,75,LR,1573441624,94,5.88,-10.05,77.0,3.02
luwingu,53,ZM,1573441624,72,-10.26,29.92,65.62,4.07
khoy,0,IR,1573441625,37,38.55,44.95,40.59,0.56
mocuba,89,MZ,1573441625,96,-16.84,36.99,71.2,3.65
yerofey pavlovich,100,RU,1573441626,68,53.97,121.97,10.99,11.12
cururupu,11,BR,1573441626,98,-1.82,-44.87,72.75,2.42
flinders,33,AU,1573441626,18,-34.58,150.85,77.74,12.75
tiarei,75,PF,1573441606,74,-17.53,-149.33,81.46,5.82
peniche,75,PT,1573441626,93,39.36,-9.38,59.7,10.29
beira,90,ES,1573441626,100,43.2,-8.36,50.81,4.7
ostrovnoy,100,RU,1573441584,91,68.05,39.51,23.9,11.43
camabatela,100,AO,1573441627,98,-8.19,15.37,65.93,6.06
dubbo,2,AU,1573441627,18,-32.25,148.6,80.6,9.17
vostok,100,RU,1573441627,96,46.45,135.83,37.81,5.17
prince rupert,1,CA,1573441627,93,54.32,-130.32,42.8,10.38
kisoro,99,UG,1573441627,91,-1.28,29.69,53.74,2.55
cherat,40,PK,1573441628,62,33.82,71.89,51.8,4.7
veracruz,83,EC,1573441628,92,-3.97,-79.57,62.71,3.0
yarada,0,IN,1573441628,78,17.65,83.27,80.6,6.93
port moresby,40,PG,1573441628,74,-9.47,147.16,84.2,17.22
quatre cocos,75,MU,1573441628,94,-20.21,57.76,70.79,3.36
bonito,26,BR,1573441629,88,-1.36,-47.3,74.55,5.08
camacari,40,BR,1573441629,83,-12.7,-38.32,80.6,14.99
emerald,7,AU,1573441629,11,-23.53,148.16,90.75,6.93
polunochnoye,100,RU,1573441629,94,60.87,60.43,18.57,9.55
usinsk,100,RU,1573441629,94,66.0,57.56,13.77,10.22
moreno valley,1,US,1573441629,72,33.94,-117.23,60.6,4.7
udachnyy,100,RU,1573441630,74,66.42,112.4,-22.01,4.47
shestakovo,100,RU,1573441630,82,56.49,103.96,0.73,6.78
garwolin,75,PL,1573441630,93,51.9,21.61,41.76,4.7
haslett,90,US,1573441630,86,42.75,-84.4,34.36,5.82
burnie,100,AU,1573441630,77,-41.05,145.91,59.54,14.0
santa maria,40,BR,1573441499,50,-16.02,-48.01,72.88,3.36
dicabisagan,100,PH,1573441631,85,17.08,122.42,77.97,11.97
ak-dovurak,100,RU,1573441631,70,51.17,90.6,19.76,9.82
champerico,5,MX,1573441631,83,16.38,-93.6,71.6,2.24
kulhudhuffushi,0,MV,1573441631,67,6.62,73.07,81.82,3.4
nova odesa,67,UA,1573441631,93,47.3,31.79,48.81,9.22
nizwa,77,OM,1573441632,74,22.93,57.53,62.62,1.21
tuy hoa,60,VN,1573441632,84,13.08,109.3,77.9,16.75
pierre,90,US,1573441398,78,44.37,-100.35,17.87,5.82
veraval,90,FR,1573441632,100,49.65,0.71,41.67,8.05
batemans bay,59,AU,1573441632,71,-35.71,150.18,73.35,7.0
hasaki,75,JP,1573441632,93,35.73,140.83,60.87,6.93
coruripe,31,BR,1573441488,78,-10.12,-36.18,77.88,13.13
kruisfontein,85,ZA,1573441633,89,-34.0,24.73,62.4,15.14
bahia blanca,100,AR,1573441555,72,-38.72,-62.27,62.06,15.39
caravelas,8,BR,1573441633,93,-17.73,-39.27,70.77,6.44
shimoda,40,JP,1573441633,60,34.7,138.93,63.37,9.17
katsuura,75,JP,1573441633,93,33.93,134.5,64.11,17.22
mezen,96,RU,1573441634,95,65.85,44.24,15.48,8.03
beloha,2,MG,1573441634,83,-25.17,45.06,67.08,11.77
goba,100,ET,1573441634,97,7.01,39.97,47.57,2.46
kidal,48,ML,1573441634,13,18.44,1.41,73.6,13.02
chama,100,ZM,1573441635,61,-11.22,33.16,72.84,2.82
pangody,0,RU,1573441635,97,65.85,74.49,-11.19,7.38
tigil,100,RU,1573441635,87,57.8,158.67,32.04,9.19
kurkino,94,RU,1573441635,94,53.42,38.66,41.81,11.92
bambanglipuro,100,ID,1573441635,60,-7.95,110.28,85.3,11.3
the valley,20,AI,1573441635,74,18.22,-63.06,81.46,13.87
virginia beach,1,US,1573441156,87,36.85,-75.98,49.5,14.23
todos santos,40,MX,1573441636,54,23.45,-110.23,78.15,8.05
hofn,100,IS,1573441636,78,64.25,-15.21,43.65,40.67
vilhena,100,BR,1573441636,99,-12.74,-60.15,68.25,2.13
tautira,75,PF,1573441636,74,-17.73,-149.15,81.48,5.82
gayny,100,RU,1573441636,95,60.3,54.33,31.14,7.96
kondinskoye,100,RU,1573441637,93,59.65,67.41,11.91,7.7
sinjar,68,SY,1573441637,27,35.59,37.0,60.76,5.26
boma,100,GH,1573441637,93,7.08,-2.17,71.92,1.25
bassila,100,BJ,1573441637,85,9.0,1.66,73.62,2.75
bendigo,93,AU,1573441637,21,-36.76,144.28,81.0,5.99
ust-tarka,2,RU,1573441637,68,55.56,75.71,13.21,3.76
nantucket,1,US,1573441638,53,41.28,-70.1,47.73,8.05
coffs harbour,40,AU,1573441638,56,-30.3,153.13,76.28,18.34
wlodawa,90,PL,1573441638,100,51.55,23.55,42.8,6.93
acapulco,20,MX,1573441361,83,16.86,-99.88,84.2,3.36
dongsheng,38,CN,1573441638,26,29.72,112.52,74.35,7.2
oktyabrskoye,100,RU,1573441639,84,56.73,85.44,2.17,2.24
loralai,100,PK,1573441639,18,30.37,68.6,53.56,2.37
baker city,1,US,1573441639,75,44.77,-117.83,45.1,11.41
fort dodge,90,US,1573441639,92,42.5,-94.17,26.71,16.11
nuuk,100,GL,1573441640,59,64.17,-51.74,36.34,4.7
totness,1,US,1573441640,100,33.74,-80.8,43.52,4.72
lock haven,75,US,1573441640,70,41.14,-77.45,41.56,2.06
roma,75,IT,1573441603,81,41.89,12.48,52.56,10.29
oskemen,75,KZ,1573441640,78,49.96,82.61,15.8,11.18
mbandaka,100,CD,1573441641,98,0.05,18.26,70.93,1.83
omboue,100,GA,1573441641,97,-1.57,9.26,74.66,1.19
hamilton,90,CA,1573441641,92,43.26,-79.87,35.78,4.7
shingu,75,JP,1573441641,82,33.72,135.99,66.2,5.82
lima,75,PE,1573441641,82,-12.06,-77.04,66.2,8.05
alto araguaia,95,BR,1573441641,84,-17.32,-53.22,69.06,6.62
zabaykalsk,0,CN,1573441642,32,49.64,117.33,21.02,18.48
coro,64,VE,1573441642,87,11.41,-69.67,79.02,12.91
